recipe_id,title,current_tags,proposed_additions,high_stakes_confirmed,required_swaps,conflicts,flagged_for_review,low_confidence,rationale,error
6e286168-0e0e-4f10-971e-565ba083a961,Italian Cannellini Dip,,vegan; vegetarian; dairy-free; gluten-free; nut-free; 5-ingredients; easy; quick; no-bake; make-ahead; one-pot,vegan; vegetarian; dairy-free; gluten-free; nut-free,,,,,"vegan: All ingredients are plant-based: beans, garlic, lemon juice, olive oil, parsley — no animal products; vegetarian: All ingredients are plant-based with no meat, fish, or hidden animal-flesh ingredients; dairy-free: No dairy ingredients of any kind present; gluten-free: All ingredients (beans, garlic, lemon juice, olive oil, parsley) are naturally gluten-free; pita chips mentioned in serving suggestion only, not in the recipe itself; nut-free: No nuts, nut flours, nut butters, or nut oils present; 5-ingredients: Exactly 5 ingredients (cannellini beans, garlic, lemon juice, olive oil, parsley) not counting salt and pepper; easy: 5 ingredients, 1 step (blend in food processor), no special techniques or equipment beyond a food processor; quick: Recipe consists of a single blending step; total time is well under 10 minutes; no-bake: No cooking or baking required; simply blended in a food processor; make-ahead: A blended dip stores well in the refrigerator without quality loss and is a classic make-ahead item; one-pot: Entire recipe prepared in a single food processor bowl",
319c887a-cdb6-43a0-84f5-b7854cdf4a3c,Warmed Goat Cheese with Sundried Tomatoes,,vegetarian; easy; one-pot,vegetarian,,,"nut-free: Recipe explicitly includes pine nuts, which are a tree nut, so nut-free cannot be applied — flagging in case any existing tag is added in error.",,"vegetarian: All ingredients are plant-based or dairy (goat cheese); no meat, fish, or hidden animal-flesh ingredients present.; easy: 7 ingredients, single baking step at 350°F for 10 minutes, basic assembly only — no complex techniques required.; one-pot: Entire dish is assembled and baked in a single baking dish.",
f23c4db2-a82f-4780-a0c3-f84843061ff3,Angel Biscuits,,vegetarian; nut-free; kid-friendly; make-ahead,vegetarian; nut-free,,,,,"vegetarian: No meat, poultry, fish, or seafood; contains butter and buttermilk (dairy allowed for vegetarian); nut-free: No tree nuts, peanuts, nut flours, nut butters, or nut-derived ingredients present; kid-friendly: Mild, sweet, familiar baked good with no spice, alcohol, or strong flavors; noted use for strawberry shortcake; make-ahead: Dough requires at least 1 hour rise time and can be prepared in advance; biscuits are also suitable for storing",
e835540d-434a-4b60-85c7-24df66fc32fa,Artisan No-Knead Crusty Bread,,vegetarian; vegan; dairy-free; nut-free; 5-ingredients; make-ahead,vegetarian; vegan; dairy-free; nut-free,,,"gluten-free: Recipe explicitly calls for bread or all-purpose flour, which contains gluten. No gluten-free flour substitution is indicated.",,"vegetarian: Recipe contains only flour, yeast, salt, and water — no meat, fish, or animal-flesh ingredients.; vegan: Recipe contains only flour, yeast, salt, and water — no dairy, eggs, honey, or other animal products.; dairy-free: Recipe contains only flour, yeast, salt, and water — no milk, butter, cream, or other dairy products.; nut-free: Recipe contains only flour, yeast, salt, and water — no nuts, nut flours, or nut-derived ingredients.; 5-ingredients: Recipe has exactly 4 ingredients (flour, yeast, salt, water); salt and water are excluded from the count per rules, leaving 2 countable ingredients (flour, yeast), well under 5.; make-ahead: Dough must sit 12–18 hours before baking — explicitly a long rest/make-ahead step.",
2f03a518-382d-424a-9aa1-6a96106d2b3b,Best Buttermilk Biscuit Recipe,,vegetarian; gluten-free; nut-free; kid-friendly; make-ahead,vegetarian; gluten-free; nut-free,gluten-free: Use a certified 1:1 gluten-free flour blend in place of the all-purpose flour.,,"easy: Recipe involves laminated-style folding technique (fold in thirds, repeated three times) and use of a pastry blender, which goes beyond basic novice techniques and is a potential disqualifier under the rules.",,"vegetarian: No meat, poultry, fish, or seafood. Contains only flour, leavening, salt, butter, and buttermilk.; gluten-free: Recipe explicitly notes '(can substitute 1:1 GF flour)' for the all-purpose flour.; nut-free: No nuts, nut flours, nut butters, or nut-derived ingredients in the recipe.; kid-friendly: Mild, familiar baked good with no spice, alcohol, or strong flavors — classic appeal for children.; make-ahead: Instructions include an optional 30-minute or longer refrigeration rest for the dough before baking.",
b869a1c6-06e2-4cb5-9a46-e23293692fd0,Cherries and Cream Scones,,vegetarian; nut-free; kid-friendly; easy,vegetarian; nut-free,,,,,"vegetarian: All ingredients are plant-based or dairy — flour, sugar, salt, butter, heavy cream, dried cherries. No meat, fish, or hidden animal-flesh ingredients.; nut-free: No tree nuts, peanuts, nut flours, nut butters, or nut-derived ingredients anywhere in the recipe.; kid-friendly: Sweet baked good with mild, familiar flavors (cherries, cream, sugar); no spice, alcohol, or strong/bitter ingredients.; easy: Fewer than 10 ingredients, basic techniques (mixing, cutting in butter, baking), standard equipment; pastry blender technique is accessible to novices.",
58e2480a-eda7-4a3d-81bf-c49180bf48f8,Popovers (Regular or Gluten-free),,vegetarian; gluten-free; nut-free; kid-friendly; easy,vegetarian; gluten-free; nut-free,gluten-free: Use the specified GF option: 1 cup 1:1 GF flour + ½ cup rice flour in place of all-purpose flour.,,"dairy-free: Recipe contains milk and butter as defining ingredients, so it does not qualify. A dairy-free version would require swapping both, but dairy is central to the dish's structure and flavor — this is not a simple incidental swap.; quick: Total bake time alone is 30–35 minutes (plus prep), which puts the recipe right at or over the 30-minute threshold; cannot confidently tag as Quick.",,"vegetarian: All ingredients are eggs, milk, flour, butter, and salt — no meat, fish, or animal-flesh derivatives.; gluten-free: Recipe explicitly provides a gluten-free variant: '1 cup 1:1 GF flour and ½ cup rice flour' as a direct substitution.; nut-free: No tree nuts, peanuts, nut flours, nut butters, or nut-derived ingredients anywhere in the recipe.; kid-friendly: Mild, simple baked good with no spice, alcohol, or strong flavors; served with butter, jam, or honey — very appealing to children.; easy: Roughly 5 core ingredients, single blender step, standard baking technique; however, requires a popover pan and a two-temperature bake which adds slight complexity.",
c46da3f3-4ddc-4f51-9af7-fe4bb8f3f1f7,Butterscotch Puddings with Whipped Cream and Crushed Toffee*,,vegetarian; make-ahead; kid-friendly,vegetarian,,,gluten-free: Crushed toffee (Garden Gate brand) gluten-free status is unverified; all other ingredients appear GF but this component needs manufacturer confirmation before confidently applying the tag; nut-free: Crushed toffee (Garden Gate brand) ingredients are unknown; some toffee products contain nuts or are processed on shared equipment with nuts,,"vegetarian: No meat, poultry, fish, seafood, or animal-flesh ingredients; contains only dairy, eggs, and plant-derived ingredients; make-ahead: Step 2 instructs to cover and refrigerate for at least 3 hours; pudding is fully prepared in advance before topping; kid-friendly: Mild, sweet butterscotch pudding with whipped cream and toffee; familiar dessert with no spicy, bitter, or strongly pungent elements (Scotch amount is 1 tbsp dispersed across 6 servings, negligible)",
9488a0b4-a3b2-49ea-9393-42340090439a,Gluten Free Lemon Poppyseed Scones,,gluten-free; vegetarian; nut-free; make-ahead; kid-friendly,gluten-free; vegetarian; nut-free,,,,,"gluten-free: Recipe explicitly uses '300 grams gluten free multipurpose flour' and is titled 'Gluten Free Lemon Poppyseed Scones'; vegetarian: All ingredients are vegetarian — butter, buttermilk, egg, flour, sugar, lemon, poppyseeds; no meat, fish, or hidden animal-flesh ingredients; nut-free: No nuts, nut flours, nut butters, or nut-derived ingredients anywhere in the recipe; make-ahead: Step 3 explicitly states dough can be refrigerated 'for at least 10 minutes and up to 12 hours' before baking; kid-friendly: Sweet lemon-glazed scones with mild, familiar flavors; no spice, alcohol, or strongly off-putting ingredients for children",
2be974cf-5b57-4560-9ecc-306984613998,Homemade Corn Tortillas,,gluten-free; vegan; vegetarian; dairy-free; nut-free; 5-ingredients; easy; kid-friendly; one-pot,gluten-free; vegan; vegetarian; dairy-free; nut-free,,,"quick: Each tortilla takes roughly 2 minutes to cook (3 turns × ~30 seconds per side); cooking 18 tortillas sequentially in a single skillet would likely exceed 30 minutes total, but batch size and skillet size could vary — borderline and conservative estimate exceeds the threshold.",,"gluten-free: Recipe explicitly uses 'Maseca gluten free corn masa flour' and water — no other ingredients.; vegan: Only ingredients are corn masa flour and water — no animal products of any kind.; vegetarian: Only ingredients are corn masa flour and water — no meat, fish, or animal-flesh derivatives.; dairy-free: Only ingredients are corn masa flour and water — no dairy products present.; nut-free: Only ingredients are corn masa flour and water — no nuts, nut flours, or nut-derived ingredients.; 5-ingredients: Only 2 ingredients: Maseca gluten free corn masa flour and water (not counting salt, pepper, water, or oil — water here is a primary ingredient but the recipe has only 2 total).; easy: Only 2 ingredients, 2 main steps, basic techniques (mixing dough, pressing, pan-cooking), no special skill required.; kid-friendly: Plain, mild corn tortillas with no spice, alcohol, or strong flavors — highly familiar and appealing to children.; one-pot: Cooked entirely in a single skillet.",
e847d415-04d2-4e60-b519-233a788a9ffa,Julie’s Sunday Rolls,,vegetarian; nut-free; make-ahead; kid-friendly; holiday,vegetarian; nut-free,,,,,"vegetarian: No meat, poultry, fish, or seafood; contains eggs, butter, and milk only.; nut-free: No tree nuts, peanuts, nut flours, nut butters, or nut extracts present in the recipe.; make-ahead: Step 2 explicitly states dough 'can be placed in refrigerator overnight' before shaping and baking.; kid-friendly: Soft, mild, slightly sweet dinner rolls with no spice, alcohol, or strong flavors; notes mention making them every Sunday for the kids.; holiday: Soft homemade rolls are a recognized festive/holiday side dish, and the scale-up note implies large family gatherings.",
07655b58-eb39-4d0a-bc1f-fbdc60ad10a6,Scones,,vegetarian; nut-free; holiday; kid-friendly,vegetarian; nut-free,,,make-ahead: Dough rests for 30 minutes but it is unclear whether the dough can be made significantly in advance and stored without quality loss; fried dough is generally best fresh,,"vegetarian: No meat, poultry, fish, or seafood; contains eggs, powdered milk, oil, flour — all vegetarian-compatible; nut-free: No tree nuts, peanuts, nut flours, nut butters, or nut-derived ingredients present; holiday: Recipe notes explicitly state 'her traditional Halloween night treat!'; kid-friendly: Fried dough sprinkled with powdered sugar — sweet, mild, familiar treat with no spice or alcohol",
2e439b80-5674-4236-bebc-648f20bee89f,Chocolate Sour Cream Cupcakes,,vegetarian; nut-free; kid-friendly; make-ahead,vegetarian; nut-free,,,"holiday: Recipe notes mention a wedding reception, which is a celebration but not a traditional holiday. The recipe itself is not a recognized festive holiday dish — borderline occasion tag requiring human judgment.",,"vegetarian: No meat, poultry, fish, or seafood; contains eggs, dairy, and chocolate — all vegetarian-compatible.; nut-free: No tree nuts, peanuts, nut flours, nut butters, or nut-containing ingredients listed. Nonpareil chocolate candy wafer garnish is decorative candy with no nuts indicated.; kid-friendly: Chocolate cupcakes with sweet fudge frosting; mild, familiar, sweet dessert with no alcohol, spice, or strong flavors.; make-ahead: Frosting requires refrigeration step; cupcakes must cool completely before frosting; baked goods hold well and can be made in advance (as implied by wedding reception batch production in notes).",
3f17ef30-9135-439b-8c47-49edc03862fc,CONDENSEDSOURDOUGHRECIPE/METHODforcrustyartisanloaf,,make-ahead; kid-friendly,,,,"vegetarian: Most sub-recipes appear vegetarian, but the pizza recipe mentions unspecified 'toppings' including 'sauce, cheese, and desired toppings' — toppings are not defined and could include meat. The core dough recipes themselves are vegetarian, but the recipe as a whole is ambiguous due to the pizza instructions.; vegan: Several sub-recipes contain eggs (waffles, sandwich bread) and honey (sandwich bread), and the sourdough artisan loaf could have cheese or other animal-product mix-ins added per instructions. Cannot apply vegan tag.; dairy-free: The recipe explicitly invites adding 'cheeses' as mix-ins, and the pizza recipe calls for cheese as a topping. While the base doughs may be dairy-free, the recipe as written incorporates dairy options, making this ambiguous.; nut-free: The recipe explicitly lists 'nuts' as a suggested mix-in for the artisan loaf, so nut-free cannot be confirmed for the recipe as written.",,"make-ahead: Dough is retarded overnight in the fridge; multiple recipes include overnight/next-morning steps and explicit freeze-and-reheat guidance.; kid-friendly: Mild, non-spicy bread, waffles, and pizza — familiar, crowd-pleasing foods with no alcohol, heat, or strongly bitter/pungent elements.",
2b40a8c8-27a5-4478-9323-68295132519d,Chocolate Chip Delta Bars,,vegetarian; nut-free; kid-friendly,vegetarian; nut-free,,,,,"vegetarian: No meat, poultry, fish, shellfish, or hidden animal-flesh ingredients; contains butter, eggs, and dairy which are permitted.; nut-free: No nuts, nut flours, nut butters, or nut oils present; semisweet chocolate chips do not typically contain nuts.; kid-friendly: Chocolate chip cookie bars with a sweet meringue topping — mild, sweet, and highly appealing to children; no spicy, alcoholic, or strongly bitter ingredients.",
72ae2b4c-50b1-483c-9189-b6c7664fea44,Chocolate Krinkles,,vegetarian; make-ahead; kid-friendly; holiday,vegetarian,,,"nut-free: Recipe includes optional chopped walnuts; whether the finished dish is nut-free depends on cook's choice, making this ambiguous for allergy safety.",,"vegetarian: No meat, poultry, fish, or seafood; contains butter, eggs, milk — all vegetarian-allowed.; make-ahead: Instructions explicitly call for refrigerating the dough for 3-4 hours before baking.; kid-friendly: Chocolate sugar cookies — mild, sweet, familiar treat with no alcohol, spice, or strong flavors.; holiday: Chocolate crinkle cookies are a widely recognized festive/holiday cookie classic.",
f1d41fc7-1dba-4f95-ba45-96110c24da2e,Chocolate Truffle Cookies with Crackly Crust,,vegetarian; nut-free; kid-friendly,vegetarian; nut-free,,,"dairy-free: Recipe explicitly calls for unsalted butter and bittersweet chocolate; these are clear dairy disqualifiers, so the tag cannot apply.; gluten-free: Recipe explicitly uses 1 1/4 cups all-purpose flour, which contains gluten; tag cannot apply.",,"vegetarian: No meat, poultry, fish, shellfish, or hidden animal-flesh ingredients; contains eggs, butter, and chocolate only.; nut-free: No nuts, nut flours, nut butters, or nut-containing ingredients listed anywhere in the recipe.; kid-friendly: Chocolate cookies — mild, sweet, familiar, no alcohol, no spicy or pungent ingredients.",
c6df11c0-5833-4578-a797-93c9356172fe,Angel Hair Pasta with Fresh Tomato Sauce,,vegetarian; nut-free; easy; kid-friendly,vegetarian; nut-free,,,"gluten-free: Recipe calls for angel hair pasta without specifying a gluten-free variety; standard pasta contains wheat.; dairy-free: Instructions call for topping with Parmesan cheese, which is a dairy product, disqualifying the recipe as-written.; vegan: Parmesan cheese is a dairy product; recipe as written is not vegan.; quick: Total time is not stated; tomatoes must be peeled, seeded, and chopped and pasta cooked, making a conservative time estimate uncertain — could exceed 30 minutes.",,"vegetarian: No meat, poultry, fish, or seafood; all ingredients are plant-based plus Parmesan cheese (dairy allowed for vegetarian).; nut-free: No tree nuts, peanuts, nut flours, nut butters, or nut-containing ingredients present.; easy: Simple technique: combine ingredients and toss with pasta; roughly 10 ingredients, only basic skills required (chopping, mixing).; kid-friendly: Mild pasta dish with fresh tomato sauce, no heat or strong off-putting flavors for children.",
91a96c38-acca-4164-80cd-db9fe58d38d3,Decadent Chocolate Cake,,vegetarian; nut-free; kid-friendly; make-ahead; holiday,vegetarian; nut-free,,,,,"vegetarian: No meat, poultry, fish, shellfish, or any animal-flesh ingredients; contains eggs, dairy, and butter which are permitted.; nut-free: No tree nuts, peanuts, nut flours, nut butters, or nut-containing ingredients anywhere in the recipe or frosting.; kid-friendly: Chocolate cake with chocolate frosting — mild, sweet, familiar, no alcohol, no spicy or strongly pungent ingredients; noted as a traditional birthday cake.; make-ahead: Cake requires full cooling before frosting and is a dense layer cake that holds well; baked goods of this type store well refrigerated or at room temperature for days without quality loss.; holiday: Recipe notes explicitly identify this as 'the traditional birthday cake especially for first family,' tying it to celebration/occasion.",
513ab1f7-3113-46e1-9dbb-854f2f1c7c8b,Cream Cheese Cookie Bars,,vegetarian; nut-free; kid-friendly; make-ahead,vegetarian; nut-free,,,,,"vegetarian: No meat, poultry, fish, or seafood; ingredients are butter, cream cheese, eggs, sugar, flour, vanilla, whipping cream, powdered sugar.; nut-free: No nuts, nut flours, nut butters, or nut-derived ingredients appear anywhere in the base recipe ingredients or instructions.; kid-friendly: Sweet cream cheese cookie bars with frosting — mild, familiar, no alcohol, no spicy or strongly bitter components; very likely to appeal to children.; make-ahead: Instructions explicitly say to refrigerate until frosting sets or freeze for 10 minutes; bars are cut and stored, suitable for advance preparation.",
ef77308f-bafd-47fd-be21-afaede0e3e69,Dark Chocolate Peanut Butter Cup Cookies,,kid-friendly; easy,,,,"nut-free: Peanut butter and peanut butter cups are primary defining ingredients — this recipe is definitively not nut-free, but no nut-free tag was applied to conflict with; vegetarian: Butter, eggs, and flour are present with no disqualifiers, so vegetarian likely applies, but dark chocolate peanut butter cups (store-bought, Trader Joe's) are a complex processed ingredient whose full composition (e.g., any hidden non-vegetarian additives) cannot be fully verified from the recipe text alone",,"kid-friendly: Sweet chocolate peanut butter cookies — mild, familiar, no alcohol or sophisticated ingredients; easy: Basic mix-and-drop cookie technique, standard pantry equipment, no thermometer or complex timing required; slightly over 10 ingredients but all pantry staples with simple steps",
8a8b1482-2f4a-41f9-a741-bda15a25489d,Grant Solomon Valentine Cookies,,nut-free; vegetarian; holiday; kid-friendly,nut-free; vegetarian,,,"gluten-free: Recipe uses all-purpose flour (a clear gluten disqualifier) and oats that are not specified as certified gluten-free, so this tag cannot apply.",,"nut-free: No nuts, nut flours, nut butters, or nut-containing ingredients listed; chocolate chips are from Guittard/Ghirardelli standard semi-sweet lines (no nuts indicated).; vegetarian: All ingredients are vegetarian (butter, eggs, flour, oats, sugar, chocolate chips) — no meat, fish, or hidden animal-flesh ingredients.; holiday: Recipe title explicitly includes 'Valentine Cookies', tying it to Valentine's Day holiday.; kid-friendly: Sweet chocolate chip cookies with no spice, alcohol, or sophisticated flavors — classic kid appeal.",
0106a401-fc07-4c09-b943-0c73ebae8517,Mason Lee Valentine Cookies,,vegetarian; kid-friendly; make-ahead,vegetarian,,,"nut-free: Recipe notes explicitly suggest adding nuts as a variation, and semi-sweet chocolate chips may contain trace nuts depending on brand; cannot confirm nut-free as written.",,"vegetarian: No meat, poultry, fish, or seafood; contains eggs, butter, and dairy-based ingredients only.; kid-friendly: Chocolate cookies originated as a child's request; sweet, mild, familiar treat with no alcohol, spice, or pungent ingredients.; make-ahead: Cookie dough can be made ahead and refrigerated or frozen; baked cookies store well without quality loss.",
